name,communityId
"""Corn, field, oil""",312
"""Rice, brown""",312
"""Wheat, grain""",312
"""Cinnamon""",312
"""Rapeseed, oil""",312
"""Safflower, oil""",312
"""Sunflower, oil""",312
"""Cottonseed, oil""",312
"""Beet, sugar""",312
"""Ginger, dried""",312
"""Soybean, soy milk""",312
"""Pineapple""",312
"""Pork, fat""",312
"""Egg, whole""",312
"""Cocoa bean, chocolate""",312
"""Honey""",312
"""Seaweed""",312
"""Sugarcane, sugar""",312
"""Pumpkin""",312
"""Apple, peeled fruit""",312
"""Grape, raisin""",312
"""Rice, brown-babyfood""",313
"""Coconut, oil-babyfood""",315
"""Corn, field, starch-babyfood""",315
"""Corn, field, syrup-babyfood""",315
"""Corn, field, oil-babyfood""",315
"""Rice, flour-babyfood""",315
"""Wheat, flour-babyfood""",315
"""Safflower, oil-babyfood""",315
"""Sunflower, oil-babyfood""",315
"""Milk, nonfat solids-baby food/infant formula""",315
"""Milk, sugar (lactose)-baby food/infant formula""",315
"""Beet, sugar-babyfood""",315
"""Cassava-babyfood""",315
"""Potato, flour-babyfood""",315
"""Soybean, flour-babyfood""",315
"""Soybean, oil-babyfood""",315
"""Water, indirect, all sources""",315
"""Palm, oil-babyfood""",315
"""Seaweed-babyfood""",315
"""Sugarcane, sugar-babyfood""",315
"""Cocoa bean, powder""",316
"""Palm, oil""",316
"""Peanut""",316
"""Peanut, butter""",316
"""Peanut, oil""",316
"""Peppermint""",316
"""Sugarcane, molasses""",316
"""Vinegar""",316
"""Water chestnut""",316
"""Beef, fat""",316
"""Milk, fat""",316
"""Milk, nonfat solids""",316
"""Milk, water""",316
"""Egg, white""",316
"""Pepper, bell, dried""",316
"""Pepper, nonbell, dried""",316
"""Coconut, dried""",316
"""Coconut, oil""",316
"""Corn, field, flour""",316
"""Corn, field, bran""",316
"""Corn, field, starch""",316
"""Corn, field, syrup""",316
"""Corn, sweet""",316
"""Oat, bran""",316
"""Rice, white""",316
"""Rice, flour""",316
"""Rice, bran""",316
"""Wheat, flour""",316
"""Wheat, bran""",316
"""Parsley, dried leaves""",316
"""Celery""",316
"""Beet, sugar, molasses""",316
"""Carrot""",316
"""Cassava""",316
"""Potato, flour""",316
"""Turmeric""",316
"""Onion, bulb, dried""",316
"""Chive, fresh leaves""",316
"""Spinach""",316
"""Soybean, flour""",316
"""Soybean, oil""",316
"""Bean, snap, succulent""",316
"""Guar, seed""",316
"""Rice, bran-babyfood""",317
"""Rye, grain""",318
"""Rye, flour""",319
"""Sorghum, grain""",320
"""Sorghum, syrup""",321
"""Triticale, flour""",322
"""Triticale, flour-babyfood""",323
"""Wheat, grain-babyfood""",325
"""Wheat, germ""",328
"""Wild rice""",330
"""Alfalfa, seed""",331
"""Basil, fresh leaves""",332
"""Basil, fresh leaves-babyfood""",333
"""Basil, dried leaves""",334
"""Basil, dried leaves-babyfood""",335
"""Chive, dried leaves""",336
"""Herbs, other""",337
"""Herbs, other-babyfood""",338
"""Lemongrass""",339
"""Marjoram""",340
"""Marjoram-babyfood""",341
"""Parsley, dried leaves-babyfood""",343
"""Savory""",344
"""Cinnamon-babyfood""",346
"""Coriander, seed""",347
"""Coriander, seed-babyfood""",348
"""Dill, seed""",349
"""Pepper, black and white""",350
"""Pepper, black and white-babyfood""",351
"""Spices, other-babyfood""",353
"""Flax, seed""",354
"""Flax seed, oil""",355
"""Rapeseed, oil-babyfood""",357
"""Sesame, seed""",358
"""Sesame, seed-babyfood""",359
"""Sesame, oil""",360
"""Sesame, oil-babyfood""",361
"""Sunflower, seed""",364
"""Cottonseed, oil-babyfood""",368
"""Mushroom""",369
"""Agave""",370
"""Asparagus""",371
"""Bamboo, shoots""",372
"""Cactus""",373
"""Celtuce""",374
"""Fennel, Florence""",375
"""Kohlrabi""",376
"""Palm heart, leaves""",377
"""Cardoon""",378
"""Celery-babyfood""",380
"""Celery, juice""",381
"""Rhubarb""",382
"""Acerola""",383
"""Olive""",384
"""Olive, oil""",385
"""Carob""",386
"""Fig""",387
"""Fig, dried""",388
"""Guava""",389
"""Guava-babyfood""",390
"""Starfruit""",391
"""Tamarind""",392
"""Acai berry""",393
"""Date""",394
"""Feijoa""",395
"""Atemoya""",396
"""Canistel""",397
"""Lychee""",398
"""Lychee, dried""",399
"""Spanish lime""",400
"""Avocado""",401
"""Banana-babyfood""",403
"""Banana, dried""",404
"""Banana, dried-babyfood""",405
"""Mango""",406
"""Mango-babyfood""",407
"""Mango, dried""",408
"""Mango, juice-babyfood""",410
"""Papaya""",411
"""Papaya-babyfood""",412
"""Papaya, dried""",413
"""Papaya, juice""",414
"""Pawpaw""",415
"""Persimmon""",416
"""Plantain""",417
"""Plantain, dried""",418
"""Pomegranate""",419
"""Pomegranate, juice""",420
"""Breadfruit""",421
"""Cherimoya""",422
"""Jackfruit""",423
"""Longan""",424
"""Mamey apple""",425
"""Pineapple-babyfood""",427
"""Pineapple, dried""",428
"""Pineapple, juice-babyfood""",430
"""Sapote, Mamey""",431
"""Soursop""",432
"""Sugar apple""",433
"""Dragon fruit""",434
"""Prickly pear fruit""",435
"""Passionfruit""",436
"""Passionfruit-babyfood""",437
"""Passionfruit, juice-babyfood""",439
"""Beef, meat""",440
"""Beef, meat-babyfood""",441
"""Beef, meat, dried""",442
"""Beef, meat byproducts-babyfood""",444
"""Beef, fat-babyfood""",446
"""Beef, kidney""",447
"""Beef, liver""",448
"""Beef, liver-babyfood""",449
"""Goat, meat""",450
"""Goat, meat byproducts""",451
"""Goat, fat""",452
"""Goat, kidney""",453
"""Goat, liver""",454
"""Horse, meat""",455
"""Pork, meat""",456
"""Pork, meat-babyfood""",457
"""Pork, skin""",458
"""Pork, meat byproducts-babyfood""",460
"""Pork, fat-babyfood""",462
"""Pork, kidney""",463
"""Pork, liver""",464
"""Sheep, meat""",465
"""Sheep, meat-babyfood""",466
"""Sheep, meat byproducts""",467
"""Sheep, fat""",468
"""Sheep, fat-babyfood""",469
"""Sheep, kidney""",470
"""Sheep, liver""",471
"""Milk, fat-baby food/infant formula""",473
"""Milk, water-babyfood/infant formula""",477
"""Milk, human""",479
"""Meat, game""",480
"""Rabbit, meat""",481
"""Chicken, meat""",482
"""Chicken, meat-babyfood""",483
"""Chicken, liver""",484
"""Chicken, meat byproducts""",485
"""Chicken, meat byproducts-babyfood""",486
"""Chicken, fat""",487
"""Chicken, fat-babyfood""",488
"""Chicken, skin""",489
"""Chicken, skin-babyfood""",490
"""Turkey, meat""",491
"""Turkey, meat-babyfood""",492
"""Turkey, liver""",493
"""Turkey, liver-babyfood""",494
"""Turkey, meat byproducts""",495
"""Turkey, meat byproducts-babyfood""",496
"""Turkey, fat""",497
"""Turkey, fat-babyfood""",498
"""Turkey, skin""",499
"""Turkey, skin-babyfood""",500
"""Poultry, other, meat""",501
"""Poultry, other, liver""",502
"""Poultry, other, meat byproducts""",503
"""Poultry, other, fat""",504
"""Poultry, other, skin""",505
"""Egg, whole-babyfood""",507
"""Egg, white (solids)-babyfood""",509
"""Egg, yolk-babyfood""",511
"""Fish-freshwater finfish""",512
"""Fish-freshwater finfish, farm raised""",513
"""Fish-saltwater finfish, tuna""",514
"""Fish-saltwater finfish, other""",515
"""Fish-shellfish, crustacean""",516
"""Fish-shellfish, mollusc""",517
"""Water, direct, all sources""",518
"""Water, direct, tap""",519
"""Water, direct, bottled""",520
"""Water, direct, other""",521
"""Water, direct, source-NS""",522
"""Water, indirect, tap""",524
"""Water, indirect, bottled""",525
"""Water, indirect, other""",526
"""Water, indirect, source-NS""",527
"""Amaranth, grain""",528
"""Artichoke, globe""",529
"""Belgium endive""",530
"""Grape, leaves""",535
"""Honey-babyfood""",537
"""Bee pollen""",538
"""Hop""",539
"""Coffee, roasted bean""",540
"""Coffee, instant""",540
"""Maple, sugar""",540
"""Banana""",540
"""Mango, juice""",540
"""Pineapple, juice""",540
"""Passionfruit, juice""",540
"""Beef, meat byproducts""",540
"""Pork, meat byproducts""",540
"""Egg, yolk""",540
"""Strawberry""",540
"""Strawberry, juice""",540
"""Cashew""",540
"""Hazelnut""",540
"""Pecan""",540
"""Oat, groats/rolled oats-babyfood""",540
"""Spices, other""",540
"""Orange, juice""",540
"""Tangerine, juice""",540
"""Lemon""",540
"""Lemon, juice""",540
"""Lime, juice""",540
"""Grapefruit, juice""",540
"""Apple, juice""",540
"""Pear, juice""",540
"""Cherry""",540
"""Cherry, juice""",540
"""Apricot, juice""",540
"""Peach""",540
"""Blackberry""",540
"""Boysenberry""",540
"""Raspberry""",540
"""Raspberry, juice""",540
"""Blueberry""",540
"""Grape, juice""",540
"""Cranberry, juice""",540
"""Maple syrup""",541
"""Peppermint, oil""",548
"""Psyllium, seed""",549
"""Quinoa, grain""",550
"""Spearmint""",553
"""Spearmint, oil""",554
"""Sugarcane, molasses-babyfood""",558
"""Tea, dried""",559
"""Tea, instant""",560
"""Teff, flour""",561
